Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
Union#I678#Other specified cerebrovascular diseases	Chapter IX Diseases of the circulatory system	European	4.30E-03	1.065	allelic	6005	3508	2156	341	0.2363	0.41582015	0.056786012	142363	85595	49435	7333	0.2251	0.398755295	0.05150917	1.0201	1.1118
41202#D051#Intraductal carcinoma in situ	Chapter II Neoplasms	European	4.40E-03	0.8877	allelic	1741	1099	566	76	0.2062	0.36875359	0.043653073	171719	102839	60012	8868	0.2264	0.401120435	0.051642509	0.8174	0.964
41202#D630#Anaemia in neoplastic disease	Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	European	4.40E-03	0.7601	allelic	351	235	105	11	0.1809	0.33048433	0.031339031	433493	260582	150614	22297	0.2252	0.398878413	0.051435663	0.6272	0.9212
Union#F02#Dementia in other diseases classified elsewhere	Chapter V Mental and behavioural disorders	European	4.40E-03	0.8569	allelic	1059	684	329	46	0.1988	0.354107649	0.043437205	191071	115143	66058	9870	0.2245	0.397381078	0.051656191	0.7699	0.9536
Union#U073#Personal history of COVID-19	Chapter XXII Codes for special purposes	European	4.40E-03	1.0765	allelic	4239	2458	1540	241	0.2385	0.420146261	0.056853031	334083	200770	116041	17272	0.2254	0.399041556	0.051699727	1.0237	1.132
40006#C53#Malignant neoplasm of cervix uteri	Chapter II Neoplasms	European	4.50E-03	0.8036	allelic	541	361	154	26	0.1904	0.33271719	0.04805915	185461	111125	64704	9632	0.2264	0.400817423	0.051935447	0.6903	0.9355
41202#I78#Diseases of capillaries	Chapter IX Diseases of the circulatory system	European	4.50E-03	1.2214	allelic	544	295	214	35	0.261	0.457720588	0.064338235	347090	209115	120224	17751	0.2243	0.397519375	0.051142355	1.0667	1.3985
Union#M1397#Arthritis unspecified Ankle and foot	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.50E-03	1.137	allelic	1361	773	505	83	0.2465	0.432035268	0.06098457	132409	79972	45702	6735	0.2234	0.396022929	0.050865122	1.0416	1.2412
20002#1138#gastro-oesophageal reflux (gord) | gastric reflux	Chapter XI Diseases of the digestive system	European	4.60E-03	0.965	allelic	19349	11773	6657	919	0.2195	0.391544783	0.047495995	369382	221731	128574	19077	0.2257	0.399724405	0.051645722	0.9415	0.9891
41202#Block D00-D09#D00-D09 In situ neoplasms	Chapter II Neoplasms	European	4.60E-03	0.946	allelic	7884	4881	2596	407	0.2163	0.380898021	0.051623541	254605	152781	88655	13169	0.2258	0.399929302	0.051723258	0.9102	0.9831
Union#H25#Senile cataract	Chapter VII Diseases of the eye and adnexa	European	4.60E-03	1.0282	allelic	33607	20045	11767	1795	0.2285	0.40354688	0.053411492	252178	152227	87117	12834	0.2236	0.39635099	0.050892623	1.0086	1.0481
Union#M7986#Other specified soft tissue disorders Lower leg	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.60E-03	1.0595	allelic	7138	4209	2529	400	0.2332	0.410339031	0.056038106	157309	95128	54197	7984	0.223	0.395279355	0.050753612	1.0183	1.1024
131363#Source of report of I61 (Intracerebral haemorrhage)	Chapter IX Diseases of the circulatory system	European	4.70E-03	1.1023	allelic	2346	1345	866	135	0.2421	0.426683717	0.057544757	374656	225471	130000	19185	0.2247	0.398191941	0.051206974	1.0308	1.1787
Union#K59#Other functional intestinal disorders	Chapter XI Diseases of the digestive system	European	4.70E-03	0.9724	allelic	36065	21902	12369	1794	0.2212	0.392707611	0.049743519	161220	96705	56132	8383	0.2261	0.400167473	0.051997271	0.9537	0.9915
Union#U071#COVID-19 virus identified	Chapter XXII Codes for special purposes	European	4.70E-03	0.9817	allelic	85937	51917	29796	4224	0.2225	0.395871394	0.049152286	323435	194112	112636	16687	0.2257	0.399842318	0.051593056	0.9693	0.9944
20002#1552#uterine problem	Chapter XIV Diseases of the genitourinary system	European	4.80E-03	1.0423	allelic	13983	8270	4937	776	0.232	0.408567546	0.055495959	214215	128830	74489	10896	0.2247	0.39859487	0.050864785	1.0128	1.0726
Union#G930#Cerebral cysts	Chapter VI Diseases of the nervous system	European	4.80E-03	0.7534	allelic	326	218	99	9	0.1794	0.331288344	0.027607362	298201	179282	103663	15256	0.225	0.398788066	0.051160124	0.6167	0.9203
Union#M858#Other specified disorders of bone density and structure	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.80E-03	1.0668	allelic	5661	3355	1967	339	0.2336	0.407348525	0.059883413	100666	60977	34635	5054	0.2222	0.3942642	0.050205631	1.0201	1.1157
Union#J98#Other respiratory disorders	Chapter X Diseases of the respiratory system	European	4.90E-03	1.0319	allelic	25927	15374	9200	1353	0.2296	0.407027423	0.052184981	186155	112197	64484	9474	0.2241	0.397292579	0.050893073	1.0096	1.0547
41202#I846#Residual haemorrhoidal skin tags	Chapter IX Diseases of the circulatory system	European	5.00E-03	1.1202	allelic	1693	959	639	95	0.2448	0.433549911	0.056113408	307248	185028	106513	15707	0.2245	0.397789408	0.05112157	1.0356	1.2118
Union#Block R50-R69#R50-R69 General symptoms and signs	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	5.00E-03	1.0245	allelic	93641	56290	32535	4816	0.2252	0.398874425	0.051430463	67040	40800	22853	3387	0.221	0.391408115	0.050522076	1.0073	1.0419
131859#Source of report of M10 (Gout)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	5.10E-03	0.9647	allelic	19020	11570	6566	884	0.2191	0.391692955	0.046477392	232013	139462	80555	11996	0.2253	0.398904372	0.051703999	0.9406	0.9893
Union#H029#Disorder of eyelid unspecified	Chapter VII Diseases of the eye and adnexa	European	5.10E-03	1.0357	allelic	19377	11488	6876	1013	0.2297	0.407132167	0.052278474	282245	170434	97428	14383	0.2236	0.396148736	0.050959273	1.0107	1.0614
41202#C343#Malignant neoplasm: Lower lobe bronchus or lung	Chapter II Neoplasms	European	5.20E-03	0.8719	allelic	1280	811	419	50	0.2027	0.36640625	0.0390625	317198	190361	110431	16406	0.2258	0.39986696	0.051721638	0.7917	0.9603
41202#I13#Hypertensive heart and renal disease	Chapter IX Diseases of the circulatory system	European	5.20E-03	1.8378	allelic	49	21	22	6	0.3469	0.571428571	0.12244898	195124	117650	67437	10037	0.2242	0.397050081	0.051439085	1.2124	2.786
Union#C799#Secondary malignant neoplasm unspecified site	Chapter II Neoplasms	European	5.20E-03	0.894	allelic	1890	1188	621	81	0.2071	0.371428571	0.042857143	245518	147262	85465	12791	0.2261	0.400198763	0.052098013	0.8261	0.9674
Union#H35#Other retinal disorders	Chapter VII Diseases of the eye and adnexa	European	5.20E-03	1.036	allelic	18940	11243	6691	1006	0.2298	0.406388596	0.0531151	272037	164283	93881	13873	0.2235	0.39610053	0.050996739	1.0107	1.062
40002#Chapter VI#Chapter VI Diseases of the nervous system	Chapter VI Diseases of the nervous system	European	5.30E-03	0.8949	allelic	1922	1226	599	97	0.2063	0.362122789	0.050468262	331664	199315	115406	16943	0.2251	0.399045419	0.051084833	0.8275	0.9679
Union#K822#Perforation of gallbladder	Chapter XI Diseases of the digestive system	European	5.30E-03	0.7619	allelic	343	227	107	9	0.1822	0.33819242	0.026239067	120931	72515	42102	6314	0.2263	0.400360536	0.052211592	0.6274	0.925
41202#K21#Gastro-oesophageal reflux disease	Chapter XI Diseases of the digestive system	European	5.40E-03	0.967	allelic	21693	13237	7387	1069	0.2195	0.389803162	0.049278569	253314	152212	88036	13066	0.2253	0.399117301	0.051580252	0.9444	0.9901
41202#Chapter IX#Chapter IX Diseases of the circulatory system	Chapter IX Diseases of the circulatory system	European	5.50E-03	1.0169	allelic	111245	66430	39042	5773	0.2274	0.402849566	0.051894467	262629	158167	91038	13424	0.2244	0.397755008	0.051113929	1.005	1.0291
40002#K566#Other and unspecified intestinal obstruction	Chapter XI Diseases of the digestive system	European	5.60E-03	0.7245	allelic	253	173	72	8	0.1739	0.316205534	0.031620553	454915	273438	158107	23370	0.2251	0.398925074	0.051372234	0.5757	0.9118
40006#C509#Malignant neoplasm: Breast unspecified	Chapter II Neoplasms	European	5.60E-03	0.9454	allelic	7472	4586	2533	353	0.2167	0.38624197	0.047243041	186984	112018	65258	9708	0.2264	0.400922004	0.051918881	0.9087	0.9837
40006#C343#Malignant neoplasm: Lower lobe bronchus or lung	Chapter II Neoplasms	European	5.70E-03	0.8769	allelic	1355	865	428	62	0.2037	0.361623616	0.045756458	308457	185084	107427	15946	0.2258	0.399968229	0.051696022	0.7985	0.963
20002#1226#hypothyroidism|myxoedema	Chapter IV Endocrine nutritional and metabolic diseases	European	5.80E-03	1.0331	allelic	22330	13228	7914	1188	0.2304	0.407613077	0.05320197	231351	139238	80266	11847	0.2247	0.398152591	0.051207905	1.0095	1.0572
20002#1309#osteoporosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	5.80E-03	1.0562	allelic	7417	4337	2686	394	0.2342	0.415262235	0.053121208	216606	130338	75268	11000	0.2245	0.398271516	0.05078345	1.0161	1.0978
131593#Source of report of K26 (Duodenal ulcer)	Chapter XI Diseases of the digestive system	European	5.90E-03	0.9514	allelic	9242	5725	3036	481	0.2163	0.380545337	0.052045012	310000	186436	107718	15846	0.2249	0.398593548	0.051116129	0.9182	0.9858
41202#E11#Type 2 diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	5.90E-03	1.1088	allelic	1970	1124	732	114	0.2437	0.429441624	0.05786802	297646	178916	103447	15283	0.2251	0.398896676	0.05134623	1.0308	1.1928
41202#K44#Diaphragmatic hernia	Chapter XI Diseases of the digestive system	European	5.90E-03	0.9632	allelic	16904	10299	5807	798	0.219	0.39073592	0.047207761	224350	134725	78087	11538	0.2255	0.399487408	0.051428571	0.9378	0.9892
Union#E11#Type 2 diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	5.90E-03	1.0261	allelic	39350	23398	13880	2072	0.229	0.405387548	0.052655654	185778	112076	63990	9712	0.2245	0.396720817	0.052277449	1.0075	1.0451
41202#K449#Diaphragmatic hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	6.00E-03	0.9632	allelic	16834	10263	5775	796	0.2188	0.390340977	0.047285256	224166	134758	77812	11596	0.2253	0.398847283	0.051729522	0.9378	0.9893
Union#D069#Carcinoma in situ: Cervix unspecified	Chapter II Neoplasms	European	6.00E-03	0.9335	allelic	4854	2983	1654	217	0.2151	0.385455295	0.044705398	143042	85557	50052	7433	0.2269	0.401874974	0.051963759	0.8887	0.9806
Union#M13#Other arthritis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.10E-03	1.0263	allelic	41922	24973	14824	2125	0.2275	0.404298459	0.050689376	133674	80862	46017	6795	0.223	0.395080569	0.050832623	1.0075	1.0455
40006#D051#Intraductal carcinoma in situ	Chapter II Neoplasms	European	6.20E-03	0.9126	allelic	2702	1692	881	129	0.2108	0.373797187	0.047742413	185942	111411	64872	9659	0.2264	0.400829291	0.051946306	0.8545	0.9747
Union#M180#Primary arthrosis of first carpometacarpal joints bilateral	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.20E-03	1.3603	allelic	205	107	81	17	0.2805	0.47804878	0.082926829	109943	66502	37904	5537	0.2227	0.395122927	0.050362461	1.0964	1.6878
Union#H162#Keratoconjunctivitis	Chapter VII Diseases of the eye and adnexa	European	6.30E-03	0.4857	allelic	61	47	13	1	0.123	0.229508197	0.016393443	220708	133094	76358	11256	0.224	0.39696794	0.050999511	0.2829	0.8338
20002#1440#tuberculosis (tb)	Chapter I Certain infectious and parasitic diseases	European	6.40E-03	0.9047	allelic	2239	1401	743	95	0.2084	0.37427423	0.042429656	445431	267578	154954	22899	0.2253	0.399282942	0.051408636	0.8416	0.9726
41202#K296#Other gastritis	Chapter XI Diseases of the digestive system	European	6.50E-03	0.9427	allelic	6457	3979	2176	302	0.2153	0.383769552	0.046770946	232721	139770	80990	11961	0.2254	0.399409593	0.051396307	0.9035	0.9837
Union#A879#Viral meningitis unspecified	Chapter I Certain infectious and parasitic diseases	European	6.50E-03	0.6927	allelic	188	129	55	4	0.1676	0.313829787	0.021276596	293850	176591	102191	15068	0.2252	0.39904373	0.051277863	0.5284	0.908
Union#G430#Migraine without aura [common migraine]	Chapter VI Diseases of the nervous system	European	6.50E-03	1.6516	allelic	71	30	36	5	0.3239	0.577464789	0.070422535	215511	129613	74869	11029	0.2249	0.398578263	0.051176042	1.1621	2.3474
Union#J449#Chronic obstructive pulmonary disease unspecified	Chapter X Diseases of the respiratory system	European	6.50E-03	1.0344	allelic	20591	12191	7311	1089	0.2304	0.407945219	0.052887184	174900	105298	60681	8921	0.2245	0.397953116	0.051006289	1.0096	1.0598
Union#Z86#Personal history of certain other diseases	Chapter XXI Factors influencing health status and contact with health services	European	6.50E-03	1.0185	allelic	119024	71188	41725	6111	0.2266	0.401902137	0.051342586	136632	82500	47208	6924	0.2234	0.396188301	0.050676269	1.0051	1.0319
130187#Source of report of B06 (Rubella [German measles])	Chapter I Certain infectious and parasitic diseases	European	6.60E-03	0.9364	allelic	5154	3180	1740	234	0.2142	0.383003492	0.04540163	385339	231414	134091	19834	0.2255	0.399453468	0.051471561	0.8931	0.9819
20002#1123#sleep apnoea	Chapter X Diseases of the respiratory system	European	6.60E-03	1.125	allelic	1479	833	565	81	0.2458	0.436781609	0.054766734	256118	154253	88686	13179	0.2246	0.397726829	0.05145675	1.0344	1.2236
41202#I489#Atrial fibrillation and atrial flutter unspecified	Chapter IX Diseases of the circulatory system	European	6.60E-03	1.0647	allelic	5411	3152	1976	283	0.2349	0.417482905	0.052300869	248334	149917	85673	12744	0.2238	0.396309003	0.051317983	1.0179	1.1136
Union#Z824#Family history of ischaemic heart disease and other diseases of the circulatory system	Chapter XXI Factors influencing health status and contact with health services	European	6.60E-03	1.0324	allelic	24683	14586	8865	1232	0.2295	0.409066969	0.049912896	128905	77723	44639	6543	0.2239	0.397052093	0.05075831	1.009	1.0563
131947#Source of report of M70 (Soft tissue disorders related to use overuse and pressure)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.70E-03	1.0375	allelic	15982	9418	5728	836	0.2315	0.410712051	0.052308847	395460	237823	137298	20339	0.225	0.398616801	0.051431245	1.0104	1.0654
40002#C799#Secondary malignant neoplasm unspecified site	Chapter II Neoplasms	European	6.70E-03	0.8013	allelic	477	315	143	19	0.1897	0.339622642	0.039832285	304972	182954	106108	15910	0.2261	0.400095746	0.052168724	0.6815	0.9422
41202#Block I30-I52#I30-I52 Other forms of heart disease	Chapter IX Diseases of the circulatory system	European	6.70E-03	1.0278	allelic	31450	18696	11085	1669	0.2293	0.405532591	0.053068362	240678	145061	83176	12441	0.2245	0.397281845	0.051691472	1.0077	1.0484
130335#Source of report of B94 (Sequelae of other and unspecified infectious and parasitic diseases)	Chapter I Certain infectious and parasitic diseases	European	6.80E-03	0.6736	allelic	165	115	46	4	0.1636	0.303030303	0.024242424	458170	275430	159220	23520	0.2251	0.398847589	0.051334657	0.5031	0.9017
20002#9#gastrointestinal|abdominal	Chapter XI Diseases of the digestive system	European	6.80E-03	0.9817	allelic	74410	45011	25688	3711	0.2225	0.395094745	0.049872329	363750	218351	126605	18794	0.2257	0.399722337	0.051667354	0.9686	0.9949
41202#I63#Cerebral infarction	Chapter IX Diseases of the circulatory system	European	6.80E-03	1.0515	allelic	8525	5020	3039	466	0.2329	0.411143695	0.054662757	242177	146139	83556	12482	0.2241	0.396561193	0.051540815	1.0142	1.0902
Union#B94#Sequelae of other and unspecified infectious and parasitic diseases	Chapter I Certain infectious and parasitic diseases	European	6.80E-03	0.6733	allelic	165	115	46	4	0.1636	0.303030303	0.024242424	293850	176591	102191	15068	0.2252	0.39904373	0.051277863	0.5029	0.9013
Union#Block R10-R19#R10-R19 Symptoms and signs involving the digestive system and abdomen	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	6.80E-03	1.0218	allelic	103661	62355	36036	5270	0.2247	0.398471942	0.050838792	80619	49064	27490	4065	0.2209	0.391408973	0.050422357	1.006	1.0379
20001#1037#female genital tract cancer	Chapter II Neoplasms	European	6.90E-03	0.9383	allelic	5453	3341	1876	236	0.2153	0.387309738	0.043278929	213903	128168	74683	11052	0.2262	0.400812518	0.05166828	0.896	0.9827
Union#C771#Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes	Chapter II Neoplasms	European	6.90E-03	0.9126	allelic	2632	1639	878	115	0.2105	0.377279635	0.043693009	242580	145509	84449	12622	0.2261	0.400160772	0.052032319	0.8537	0.9754
Union#D24#Benign neoplasm of breast	Chapter II Neoplasms	European	6.90E-03	0.9239	allelic	3542	2195	1183	164	0.2133	0.380293619	0.046301525	144520	86444	50572	7504	0.2269	0.401854415	0.051923609	0.8722	0.9785
Union#H60#Otitis externa	Chapter VIII Diseases of the ear and mastoid process	European	7.00E-03	1.0341	allelic	20487	12177	7241	1069	0.2289	0.405623078	0.052179431	181955	109941	62864	9150	0.223	0.395779176	0.050287159	1.0093	1.0596
Union#R194#Change in bowel habit	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	7.00E-03	1.0355	allelic	21777	13052	7567	1158	0.2269	0.400652064	0.053175369	82193	50014	28053	4126	0.2209	0.391505359	0.050198922	1.0097	1.062
20002#1441#malaria	Chapter I Certain infectious and parasitic diseases	European	7.10E-03	0.8111	allelic	529	347	162	20	0.1909	0.344045369	0.037807183	330836	198716	115125	16995	0.2254	0.399351945	0.051369863	0.6958	0.9456
20002#1580#hepatitis c	Chapter I Certain infectious and parasitic diseases	European	7.10E-03	0.5924	allelic	102	75	24	3	0.1471	0.264705882	0.029411765	317570	190739	110486	16345	0.2254	0.399379664	0.051468967	0.4021	0.8728
41202#Block N10-N16#N10-N16 Renal tubulo-interstitial diseases	Chapter XIV Diseases of the genitourinary system	European	7.20E-03	1.0606	allelic	5974	3502	2137	335	0.2349	0.413793103	0.056076331	341580	205699	118379	17502	0.2245	0.397801394	0.051238363	1.0163	1.1069
Union#K429#Umbilical hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	7.20E-03	1.0595	allelic	6483	3795	2319	369	0.2358	0.41462286	0.056918093	98977	59511	34290	5176	0.2255	0.398739101	0.052294978	1.016	1.1048
131179#Source of report of H33 (Retinal detachments and breaks)	Chapter VII Diseases of the eye and adnexa	European	7.30E-03	1.0547	allelic	7251	4263	2578	410	0.2343	0.412081092	0.056543925	366008	220118	127159	18731	0.2249	0.398597845	0.051176477	1.0146	1.0965
131443#Source of report of J11 (Influenza virus not identified)	Chapter X Diseases of the respiratory system	European	7.30E-03	1.0469	allelic	9910	5814	3575	521	0.2329	0.413319879	0.052573158	413117	248515	143420	21182	0.2249	0.398439183	0.05127361	1.0126	1.0824
131885#Source of report of M23 (Internal derangement of knee)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	7.30E-03	1.032	allelic	21765	12861	7769	1135	0.2306	0.409097174	0.052147944	355735	213937	123463	18335	0.2251	0.398605704	0.051541175	1.0086	1.056
Union#N202#Calculus of kidney with calculus of ureter	Chapter XIV Diseases of the genitourinary system	European	7.30E-03	1.1771	allelic	743	417	275	51	0.2537	0.438761777	0.068640646	174890	105507	60388	8995	0.2241	0.396723655	0.051432329	1.047	1.3234
Union#D630#Anaemia in neoplastic disease	Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	European	7.40E-03	0.8522	allelic	885	567	285	33	0.1983	0.359322034	0.037288136	356772	214525	123973	18274	0.225	0.398705616	0.051220387	0.7581	0.9579
Union#M8981#Other specified disorders of bone Shoulder region	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	7.40E-03	1.9063	allelic	41	18	17	6	0.3537	0.56097561	0.146341463	157309	95128	54197	7984	0.223	0.395279355	0.050753612	1.2121	2.9981
Union#Z82#Family history of certain disabilities and chronic diseases leading to disablement	Chapter XXI Factors influencing health status and contact with health services	European	7.50E-03	1.0309	allelic	26549	15728	9488	1333	0.2289	0.407585973	0.050209047	131457	79353	45426	6678	0.2236	0.396357744	0.050799881	1.0082	1.054
41202#M87#Osteonecrosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	7.60E-03	1.2349	allelic	429	239	155	35	0.2622	0.442890443	0.081585082	320160	193323	110561	16276	0.2235	0.396167541	0.050837081	1.0605	1.438
41202#G91#Hydrocephalus	Chapter VI Diseases of the nervous system	European	7.70E-03	0.7723	allelic	352	230	115	7	0.1832	0.346590909	0.019886364	418033	251314	145244	21475	0.2251	0.398817797	0.051371542	0.638	0.9349
41202#Block I80-I89#I80-I89 Diseases of veins lymphatic vessels and lymph nodes not elsewhere classified	Chapter IX Diseases of the circulatory system	European	7.90E-03	1.025	allelic	36879	21982	12945	1952	0.2284	0.403942623	0.052929852	325605	196276	112712	16617	0.2241	0.397195989	0.051034229	1.0066	1.0438
Union#D059#Carcinoma in situ of breast unspecified	Chapter II Neoplasms	European	8.10E-03	0.8861	allelic	1480	936	477	67	0.2064	0.367567568	0.04527027	143400	85770	50179	7451	0.2269	0.401882845	0.051959554	0.8103	0.9691
Union#E114#Type 2 diabetes mellitus With neurological complications	Chapter IV Endocrine nutritional and metabolic diseases	European	8.10E-03	1.129	allelic	1319	748	492	79	0.2464	0.432903715	0.059893859	160871	96937	55614	8320	0.2246	0.397424023	0.051718458	1.0329	1.234
40001#C48#Malignant neoplasm of retroperitoneum and peritoneum	Chapter II Neoplasms	European	8.20E-03	1.5215	allelic	99	48	41	10	0.3081	0.515151515	0.101010101	199573	119568	69648	10357	0.2264	0.400880881	0.051895798	1.1252	2.0575
41202#I951#Orthostatic hypotension	Chapter IX Diseases of the circulatory system	European	8.20E-03	0.9056	allelic	2182	1366	727	89	0.2074	0.373968836	0.040788268	242047	145929	83730	12388	0.2241	0.397104695	0.051180143	0.8415	0.9747
Union#D041#Carcinoma in situ: Skin of eyelid including canthus	Chapter II Neoplasms	European	8.20E-03	1.6072	allelic	75	37	28	10	0.32	0.506666667	0.133333333	216785	129923	75525	11337	0.2265	0.400682704	0.052296054	1.1403	2.2651
Union#R298#Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	8.20E-03	1.0719	allelic	4397	2578	1597	222	0.2321	0.413691153	0.05048897	63761	38886	21701	3174	0.22	0.390128762	0.049779646	1.0183	1.1282
Union#R39#Other symptoms and signs involving the urinary system	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	8.20E-03	1.0559	allelic	7870	4680	2768	422	0.2295	0.405336722	0.053621347	47755	29156	16185	2414	0.22	0.389467072	0.050549681	1.0143	1.0992
40006#C719#Malignant neoplasm: Brain unspecified	Chapter II Neoplasms	European	8.30E-03	1.3993	allelic	157	80	63	14	0.2898	0.49044586	0.089171975	285436	171303	99376	14757	0.2258	0.399854959	0.051699856	1.0965	1.7858
40002#I249#Acute ischaemic heart disease unspecified	Chapter IX Diseases of the circulatory system	European	8.40E-03	0.6285	allelic	120	87	29	4	0.1542	0.275	0.033333333	268970	161853	93302	13815	0.2248	0.398248875	0.051362605	0.4427	0.8923
40002#J841#Other interstitial pulmonary diseases with fibrosis	Chapter X Diseases of the respiratory system	European	8.40E-03	0.7751	allelic	348	232	104	12	0.1839	0.333333333	0.034482759	285924	171825	99386	14713	0.2253	0.399053595	0.05145773	0.6398	0.939
Union#A09#Other gastroenteritis and colitis of infectious and unspecified origin	Chapter I Certain infectious and parasitic diseases	European	8.40E-03	1.03	allelic	24419	14439	8710	1270	0.2304	0.408698145	0.052008682	284691	171133	98919	14639	0.2252	0.398881594	0.051420663	1.0076	1.0529
Union#D225#Melanocytic naevi of trunk	Chapter II Neoplasms	European	8.40E-03	0.9102	allelic	2364	1476	782	106	0.2102	0.375634518	0.044839255	273096	163716	95163	14217	0.2263	0.400518499	0.052058617	0.8484	0.9764
Union#M6594#Synovitis and tenosynovitis unspecified Hand	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	8.40E-03	1.2543	allelic	363	199	136	28	0.2645	0.451790634	0.077134986	121416	73458	41815	6143	0.2228	0.394989128	0.05059465	1.0633	1.4796
40011#8140#Adenocarcinoma| NOS	Chapter II Neoplasms	European	8.50E-03	0.9714	allelic	26453	16117	9032	1304	0.22	0.39073073	0.049294976	246202	148045	85507	12650	0.225	0.39868482	0.051380574	0.9506	0.9926
Union#C852#Mediastinal (thymic) large B-cell lymphoma	Chapter II Neoplasms	European	8.50E-03	1.9879	allelic	34	16	11	7	0.3676	0.529411765	0.205882353	273096	163716	95163	14217	0.2263	0.400518499	0.052058617	1.2142	3.2546
Union#M2586#Other specified joint disorders Lower leg	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	8.50E-03	1.314	allelic	241	129	92	20	0.2739	0.46473029	0.082987552	157309	95128	54197	7984	0.223	0.395279355	0.050753612	1.0754	1.6055
Union#R13#Dysphagia	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	8.50E-03	1.0397	allelic	16175	9678	5640	857	0.2273	0.401669243	0.052982998	70725	43078	24096	3551	0.2206	0.390908448	0.050208554	1.0101	1.0702
Union#H91#Other hearing loss	Chapter VIII Diseases of the ear and mastoid process	European	9.10E-03	1.0338	allelic	19807	11838	6877	1092	0.2287	0.402332509	0.055132024	159860	96628	55190	8042	0.2229	0.395546103	0.050306518	1.0084	1.0598
Union#H904#Sensorineural hearing loss unilateral with unrestricted hearing on the contralateral side	Chapter VIII Diseases of the ear and mastoid process	European	9.20E-03	1.3411	allelic	207	112	75	20	0.2778	0.458937198	0.096618357	171278	103473	59263	8542	0.2229	0.395876879	0.049872138	1.0814	1.6631
130227#Source of report of B35 (Dermatophytosis)	Chapter I Certain infectious and parasitic diseases	European	9.30E-03	1.0267	allelic	30106	17952	10502	1652	0.2293	0.403706902	0.054872783	355713	214069	123451	18193	0.2247	0.398197423	0.051145165	1.0065	1.0472
130229#Source of report of B36 (Other superficial mycoses)	Chapter I Certain infectious and parasitic diseases	European	9.40E-03	1.0628	allelic	5166	3041	1815	310	0.2357	0.411343399	0.060007743	396858	238737	137750	20371	0.2249	0.398432185	0.051330703	1.0153	1.1125
41202#N202#Calculus of kidney with calculus of ureter	Chapter XIV Diseases of the genitourinary system	European	9.40E-03	1.181	allelic	669	374	250	45	0.2541	0.440956652	0.067264574	237731	143408	82200	12123	0.2239	0.396763569	0.050994612	1.0441	1.336
Union#I634#Cerebral infarction due to embolism of cerebral arteries	Chapter IX Diseases of the circulatory system	European	9.40E-03	1.2116	allelic	493	271	187	35	0.2606	0.45030426	0.070993915	126603	76006	44126	6471	0.2254	0.399650877	0.051112533	1.0507	1.3972
41202#H527#Disorder of refraction unspecified	Chapter VII Diseases of the eye and adnexa	European	9.50E-03	0.5123	allelic	62	47	14	1	0.129	0.241935484	0.016129032	378655	228132	131182	19341	0.2243	0.39752017	0.051078158	0.3031	0.8662
41202#I83#Varicose veins of lower extremities	Chapter IX Diseases of the circulatory system	European	9.50E-03	0.9615	allelic	13343	8175	4523	645	0.2178	0.387319194	0.048339954	305300	183795	105873	15632	0.2246	0.397985588	0.051202096	0.9334	0.9905
41202#M679#Disorder of synovium and tendon unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	9.50E-03	0.69	allelic	172	120	47	5	0.1657	0.302325581	0.029069767	320160	193323	110561	16276	0.2235	0.396167541	0.050837081	0.5193	0.9169
